order_id,day,slot,zone,lat,lon,garment_type,start_hour,end_hour
2,Thu,12-4,South,1.3138200946486511,103.86060517956653,Normal,12,16
3,Fri,3-6,West,1.4157830948301355,103.80783225533506,Delicate,15,18
5,Wed,9-1,Central,1.3692539756964106,103.82206675666218,Normal,9,13
6,Fri,9-1,South,1.2960017674575406,103.84323013484465,Normal,9,13
7,Fri,9-1,East,1.2741133771554558,103.75452480014671,Premium,9,13
9,Tue,12-4,East,1.389257755175628,103.7243772186674,Normal,12,16
10,Wed,9-1,East,1.3179749927536133,103.73622986990694,Normal,9,13
12,Wed,3-6,Central,1.2630712681597884,103.73628766953912,Normal,15,18
13,Wed,3-6,South,1.313058067566122,103.80503267673342,Normal,15,18
14,Fri,3-6,South,1.3578982584750674,103.84180925234449,Premium,15,18
15,Thu,9-1,East,1.4081446329677927,103.72137538461895,Normal,9,13
16,Wed,12-4,East,1.313750500586414,103.81346244392579,Normal,12,16
17,Sat,12-4,North,1.3751782752874018,103.75131255674027,Normal,12,16
18,Fri,12-4,Central,1.4271955496472375,103.89258537504752,Premium,12,16
19,Tue,3-6,West,1.3731726376364608,103.796709129344,Delicate,15,18
20,Thu,9-1,South,1.2965918949507267,103.86119850995503,Normal,9,13
21,Sat,3-6,North,1.2548801563113077,103.81004530843126,Delicate,15,18
22,Sat,3-6,North,1.424019774780186,103.70868250657097,Normal,15,18
23,Tue,12-4,South,1.2542538821700775,103.8266302751188,Normal,12,16
24,Thu,3-6,West,1.4249403345368399,103.89028066844133,Normal,15,18
25,Fri,12-4,North,1.3557874268054424,103.82032236402927,Normal,12,16
26,Mon,9-1,North,1.4378135397025793,103.86383777188536,Normal,9,13
27,Thu,12-4,Central,1.4097566471547331,103.87684129266968,Premium,12,16
28,Tue,9-1,West,1.4495868221066674,103.74561595438979,Delicate,9,13
29,Sat,12-4,North,1.320142363090342,103.74240896798165,Delicate,12,16
30,Fri,3-6,West,1.4034376577862253,103.8221961977702,Normal,15,18
31,Thu,3-6,South,1.3303861827218484,103.78220569396134,Normal,15,18
32,Mon,9-1,East,1.3459751240607818,103.86797226057335,Delicate,9,13
33,Mon,9-1,North,1.375501092643674,103.88000462467961,Normal,9,13
34,Wed,9-1,Central,1.4247354228372677,103.77068427586055,Normal,9,13
35,Wed,12-4,South,1.446816693839859,103.7473741117949,Normal,12,16
37,Tue,9-1,South,1.3335533564334667,103.75496120710963,Normal,9,13
38,Thu,3-6,North,1.334271400455414,103.86452286370275,Normal,15,18
39,Thu,12-4,West,1.3975164603177783,103.78474765072976,Delicate,12,16
41,Sat,12-4,South,1.272094822626279,103.71910706276694,Normal,12,16
42,Sat,9-1,North,1.3209244315281552,103.82477186493531,Normal,9,13
44,Sat,9-1,West,1.309261624091198,103.8173216926351,Delicate,9,13
45,Wed,9-1,South,1.296721550209982,103.73360284154897,Normal,9,13
46,Thu,9-1,South,1.2584186379272724,103.84737474898884,Normal,9,13
48,Thu,3-6,East,1.4475444779472062,103.74334796001816,Premium,15,18
49,Mon,9-1,Central,1.3355546267471725,103.71914291110403,Premium,9,13
50,Wed,12-4,Central,1.3268653294319364,103.70472771720927,Normal,12,16
51,Fri,9-1,North,1.385929456538614,103.82839430008866,Normal,9,13
52,Wed,3-6,North,1.2936507775730128,103.82141880721777,Premium,15,18
54,Fri,12-4,Central,1.4072690028831103,103.74638941922319,Normal,12,16
